Sequence No	Turboveg No	Group No	Relevé number	TV2 relevé number	Country	DEG_LON	DEG_LAT	cryptogams	
351	1693	1	1693	003203708	Austria	10.66555	47.11053	5	
352	1692	1	1692	003203707	Austria	10.666	47.10844	6	
353	2168	1	2168	003407096	Austria	10.68464	47.11511	3	
354	1324	1	1324	003100576	Austria	10.666	47.10844	6	
355	1322	1	1322	003100574	Austria	10.63456	47.08446	8	
356	1318	1	1318	003100568	Austria	10.60404	46.95764	9	
357	1667	1	1667	003203638	Austria	10.60404	46.95764	9	
358	1323	1	1323	003100575	Austria	10.62434	47.18113	3	
359	1688	1	1688	003203693	Austria	10.63456	47.08446	8	
360	1691	1	1691	003203699	Austria	10.62434	47.18113	3	
361	2175	1	2175	003407406	Austria	10.69805	47.44912	7	
362	1713	1	1713	003203822	Austria	10.73491	47.20982	7	
363	596	1	596	003017054	Austria	10.70833	47.475	0	
364	1336	1	1336	003100592	Austria	10.73491	47.20982	7	
365	1334	1	1334	003100590	Austria	10.73821	47.13509	6	
366	1709	1	1709	003203805	Austria	10.73821	47.13509	6	
367	1695	1	1695	003203729	Austria	10.70602	47.06009	8	
368	1328	1	1328	003100583	Austria	10.69924	47.18275	10	
369	1700	1	1700	003203760	Austria	10.69924	47.18275	10	
370	1696	1	1696	003203744	Austria	10.70344	47.15828	9	
371	1326	1	1326	003100580	Austria	10.70602	47.06009	8	
372	1327	1	1327	003100581	Austria	10.70344	47.15828	9	
373	1319	1	1319	003100569	Austria	10.59488	47.10564	5	
374	1654	1	1654	003203579	Austria	10.48331	47.13055	3	
375	1311	1	1311	003100560	Austria	10.48331	47.13055	3	
376	1310	1	1310	003100559	Austria	10.486	47.12909	5	
377	1655	1	1655	003203581	Austria	10.48612	47.13085	6	
378	1652	1	1652	003203573	Austria	10.486	47.12909	5	
379	1306	1	1306	003100554	Austria	10.43426	47.35209	4	
380	1305	1	1305	003100553	Austria	10.41068	47.12857	4	
381	1640	1	1640	003203527	Austria	10.41068	47.12857	4	
382	1639	1	1639	003203526	Austria	10.41294	47.12559	4	
383	1644	1	1644	003203543	Austria	10.43426	47.35209	4	
384	1304	1	1304	003100552	Austria	10.41294	47.12559	4	
385	1312	1	1312	003100561	Austria	10.48612	47.13085	6	
386	1676	1	1676	003203666	Austria	10.58868	47.20632	8	
387	1665	1	1665	003203624	Austria	10.55822	47.12948	6	
388	1320	1	1320	003100570	Austria	10.58868	47.20632	8	
389	1672	1	1672	003203657	Austria	10.59488	47.10564	5	
390	80062	1	80062	088005751	Austria	10.589686	47.132772	5	
391	1317	1	1317	003100567	Austria	10.55822	47.12948	6	
392	1309	1	1309	003100557	Austria	10.4928	46.93112	6	
393	1646	1	1646	003203550	Austria	10.4928	46.93112	6	
394	1645	1	1645	003203549	Austria	10.49654	46.93108	6	
395	1315	1	1315	003100565	Austria	10.52895	46.98076	7	
396	1308	1	1308	003100556	Austria	10.49654	46.93108	6	
397	1727	1	1727	003203958	Austria	11.20432	47.19358	5	
398	1352	1	1352	003100628	Austria	11.20432	47.19358	5	
399	1353	1	1353	003100629	Austria	11.20466	47.19495	7	
400	1354	1	1354	003100630	Austria	11.20792	47.21915	5	
401	1728	1	1728	003203959	Austria	11.20466	47.19495	7	
402	1731	1	1731	003203963	Austria	11.20265	47.24508	10	
403	1350	1	1350	003100624	Austria	11.12676	47.34234	16	
404	1725	1	1725	003203952	Austria	11.12676	47.34234	16	
405	1182	1	1182	003100028	Austria	11.16281	47.34338	3	
406	1355	1	1355	003100631	Austria	11.20265	47.24508	10	
407	1181	1	1181	003100027	Austria	11.16565	47.34155	3	
408	1730	1	1730	003203962	Austria	11.20792	47.21915	5	
409	1734	1	1734	003203970	Austria	11.35481	47.17233	5	
410	1356	1	1356	003100633	Austria	11.32335	47.07337	3	
411	1360	1	1360	003100639	Austria	11.35481	47.17233	5	
412	1736	1	1736	003203977	Austria	11.38774	47.1985	2	
413	1362	1	1362	003100641	Austria	11.38774	47.1985	2	
414	1732	1	1732	003203967	Austria	11.32335	47.07337	3	
415	1351	1	1351	003100627	Austria	11.20909	47.19304	4	
416	1726	1	1726	003203957	Austria	11.20909	47.19304	4	
417	1358	1	1358	003100635	Austria	11.31819	47.12235	10	
418	1357	1	1357	003100634	Austria	11.31868	47.12185	7	
419	1733	1	1733	003203968	Austria	11.31868	47.12185	7	
420	2170	1	2170	003407182	Austria	11.10686	47.2004	4	
421	1544	1	1544	003110896	Austria	10.79167	47.475	4	
422	1807	1	1807	003205267	Austria	10.79167	47.375	6	
423	1180	1	1180	003100025	Austria	10.79517	47.45609	9	
424	1809	1	1809	003205269	Austria	10.875	47.375	2	
425	1808	1	1808	003205268	Austria	10.875	47.375	8	
426	1330	1	1330	003100586	Austria	10.74508	46.98634	9	
427	1706	1	1706	003203793	Austria	10.74261	47.03567	8	
428	1333	1	1333	003100589	Austria	10.74261	47.03567	8	
429	1705	1	1705	003203789	Austria	10.74488	46.98794	9	
430	1704	1	1704	003203787	Austria	10.74508	46.98634	9	
431	1331	1	1331	003100587	Austria	10.74488	46.98794	9	
432	1720	1	1720	003203941	Austria	10.94879	47.26293	15	
433	1723	1	1723	003203947	Austria	11.05343	47.36319	2	
434	1347	1	1347	003100620	Austria	11.05343	47.36319	2	
435	2171	1	2171	003407188	Austria	11.10633	47.20102	3	
436	2169	1	2169	003407174	Austria	11.10686	47.2004	5	
437	2172	1	2172	003407190	Austria	11.10633	47.20102	4	
438	1722	1	1722	003203944	Austria	11.03294	47.06699	11	
439	1344	1	1344	003100616	Austria	10.95096	47.26311	14	
440	1343	1	1343	003100615	Austria	10.94879	47.26293	15	
441	1721	1	1721	003203942	Austria	10.95096	47.26311	14	
442	1346	1	1346	003100619	Austria	11.03294	47.06699	11	
443	963	1	963	003031426	Austria	10.95833	47.275	0	
444	2458	1	2458	003420982	Austria	9.875	47.025	0	
445	2452	1	2452	003420976	Austria	9.875	47.025	0	
446	2460	1	2460	003420985	Austria	9.875	47.025	0	
447	2450	1	2450	003420974	Austria	9.875	47.025	0	
448	2455	1	2455	003420979	Austria	9.875	47.025	0	
449	164	1	164	003015461	Austria	9.87077	47.11225	0	
450	2084	1	2084	003405336	Austria	9.83391	47.39017	3	
451	1729	1	1729	003203961	Austria	9.81527	47.40869	9	
